# class coastal green red blue red_edge1 red_edge2 red_edge3 swir1 swir2 NDVI LAI MNDWI
1 722 1318 1868 982 2536 2238 2412 4087 3229 0.15168 0.250891 -0.512303 
1 684 1132 1566 878 2500 2112 2353 4813 4056 0.22971 0.433762 -0.619176 
1 769.5 1376 1569.5 1183.5 2174 2054.5 2144.5 3241.5 2422.5 0.16148 0.312028 -0.404006 
1 316 578 805 317 1672 1376 1651 2724 1878 0.35002 0.437207 -0.649909 
1 627 1306 1794 872 2592 2269 2440 3665 3025 0.181943 0.311229 -0.474552 
1 676 1230 1755 793 2376 2194.5 2343 4416 3481.5 0.150327 0.213217 -0.564293 
1 704 1522 2132 1144 2822 2531 2659 4585 4117 0.139281 0.248388 -0.501556 
1 716 1524 2177 1112 3011 2580 2778 4773.5 3731.5 0.160756 0.307395 -0.515998 
1 1036 2436 3064 1766 3620 3309 3470 5202 3636 0.083184 0.150086 -0.362137 
1 572 1214 1632 859 2142 1994 2135 3508 2704 0.135135 0.179773 -0.485811 
1 1194.5 1642 1903 1476.5 2782 2363 2472.5 4120 3147.5 0.18762 0.487699 -0.430059 
1 847 1570 2082 1220 2634 2431 2576 4286 3630 0.117048 0.194521 -0.463798 
1 719 1369 1820 984.5 2425 2196.5 2318.5 3396.5 2652 0.142521 0.224844 -0.425454 
1 617.5 1035 1330 738 2368 2067.5 2231.5 3904 2901 0.280692 0.515816 -0.580887 
1 715.5 1177 1643 888 2343 2005.5 2183.5 4325.5 3424 0.175615 0.289406 -0.572194 
1 793 1370 1848 1028 2744 2342 2520 4601 4160 0.195122 0.384687 -0.541115 
1 1371 1914 2318 1510 2986 2750 2855 4530 3669 0.125943 0.270083 -0.405959 
1 634 907 1356 681 2056 1727 1934 3879 3245 0.205158 0.301735 -0.620978 
1 800 1232 1716 836 2136 2061 2206 4478 3229 0.109034 0.117051 -0.568476 
1 681.5 1235 1813 894 2256 2225.5 2328.5 3791 2763 0.108872 0.125894 -0.508556 
1 600 975 1173.5 692.5 2528 2193.5 2410 3531.5 2827.5 0.365933 0.73426 -0.567292 
1 726 1272 1642 970 2712 2317 2569 4276 3759 0.245751 0.515014 -0.541456 
1 673 1460 1938 1072 2584 2279 2442 3620 2785 0.142857 0.243308 -0.425197 
1 891.5 1241 1694 987.5 2187 1941.5 2065.5 4322 3423.5 0.127029 0.180378 -0.553838 
1 807 1404 1814 1032 2412 2215 2371 3795 3127 0.141505 0.229706 -0.459896 
1 618 1104 1488 761 1964 1880 1961 3000 2416 0.137891 0.16554 -0.461988 
1 733 1462 2020 1084 2610 2430 2563 4208 3191 0.12743 0.203479 -0.484303 
1 580 1128 1532 744 2026 1896 2021 4023 3228 0.138842 0.167729 -0.562027 
1 566 1035 1339 761 2186 2007 2133.5 3116.5 2449.5 0.240284 0.409898 -0.501385 
1 571.5 1260 1833 887 2423 2152.5 2272.5 4173.5 3805.5 0.138628 0.200249 -0.536211 
