class,coastal,green,red,blue,nir,red_edge1,red_edge2,red_edge3,swir1,swir2,NDVI,LAI,MNDWI
1,674,1402,2195,937,2975,2422,2527,2728.5,4491.5,3561,0.15087041258812,0.251038879156113,-0.52422159910202
1,715.5,1007,1450,701.5,1830,1608,1708,1945,3416.5,3049,0.115853659808636,0.107106849551201,-0.544704437255859
1,420,1072,1588,659,2216,1919,2122,2241,3307,2484,0.165089353919029,0.220080465078354,-0.510390520095825
1,780,1638,2086,1264,2850,2343,2585,2731,4348,3416,0.154781192541122,0.316998064517975,-0.452722996473312
1,666,1236,1784,927,2312,1990,2054,2254,3960,3462,0.12890625,0.179305076599121,-0.52424943447113
1,531,1329,2730,701.5,3459,3155,3262.5,3389.5,5423,4526,0.11778961867094,0.150283485651016,-0.606338858604431
1,669.5,1378,1868,1044,2665,2101.5,2259.5,2391.5,4221.5,3226,0.175821736454964,0.331346392631531,-0.507813155651093
1,928,1456,1919,1146,2672,2228.5,2325,2519.5,4670.5,3829,0.164016529917717,0.318847209215164,-0.524687826633453
1,774,1578,1976,1124,2932,2332,2611,2764,4081,3062,0.194783985614777,0.410610944032669,-0.442304253578186
1,545,1040,1444,803,2164,1629,1907,2055,3660,3384,0.199556529521942,0.321863532066345,-0.557446777820587
1,631,1088,1440,849,2124,1630,1789,1923,4033,3493,0.191919207572937,0.311742067337036,-0.575083017349243
1,589,900,1218,633,2128,1351,1686,1961,3198,2360,0.271966516971588,0.442366987466812,-0.560761332511902
1,617.5,1217,1798,851.5,2420,2063.5,2131,2310,3946.5,3309.5,0.147463232278824,0.216447353363037,-0.528614342212677
1,1706,2530,2996,2222,3492,3228.5,3219.5,3341.5,5125,4952.5,0.0764488354325295,0.185068339109421,-0.338994145393372
1,643,1428,1998,996,2622,2208,2299,2451,3777,3309,0.13506492972374,0.211292862892151,-0.451296836137772
1,844,1396,1880,1092,2424,2163,2198,2342,4278,3881,0.12639407813549,0.199163943529129,-0.507930994033814
1,640,1256,1810,920,2522,2092,2254,2404,4314,3270,0.164358288049698,0.272731781005859,-0.54901260137558
1,858,1733,2296,1228,3013,2531.5,2641,2811.5,4716.5,3908,0.135053664445877,0.250921100378037,-0.462593972682953
1,633,1216,1694,905,2360,1956,2011,2214,4746,3921,0.16428217291832,0.26480233669281,-0.592083156108856
1,653,1064,1556,772,2192,1841,1956,2142,3582,3047,0.169690519571304,0.247524261474609,-0.541971564292908
1,689,1298,1852,948,2330,2086,2236,2395,3647,2683,0.114299349486828,0.146726220846176,-0.47502526640892
1,662,1312,1732,1008,2354,1954,2106,2264,3970,2762,0.152227133512497,0.252472221851349,-0.503218472003937
1,1220,1666,2160,1328,3116,2431,2690,2851,4775,4169,0.181197866797447,0.418548792600632,-0.482688963413239
1,813,1578,2004,1170,3000,2276,2627,2825,4489,3343,0.199040800333023,0.436423152685165,-0.479808837175369
1,818,1472,2206,1036,2988,2434,2538,2719,4871,4319,0.150558337569237,0.265287637710571,-0.535866320133209
1,681.5,1211,1691,857.5,2480,1968.5,2189.5,2361,4085,3192.5,0.189163252711296,0.322667717933655,-0.542673707008362
1,765.5,1334,1892,1004,2480,2122,2230.5,2346.5,3879.5,2862.5,0.134492218494415,0.208245843648911,-0.488251656293869
1,762,1222,1668,980,2348,1883,1972,2166,4329,3530,0.169322684407234,0.291875958442688,-0.55971896648407
1,1414,2054,2796,1584,3542,3093,3171,3439,5918,5255,0.117702759802341,0.247960090637207,-0.484696447849274
1,604,1284,1920,929,2478,2166,2282,2400,3494,2675,0.126875832676888,0.178357094526291,-0.462536633014679
1,668,1121,1618,750.5,2126,1948,2062,2158.5,3210.5,2668,0.135683760046959,0.165541440248489,-0.482396364212036
1,379,913.5,1241,558.5,2081,1631.5,1820,1975.5,3870.5,3214,0.252859741449356,0.377349883317947,-0.618102073669434
1,807,1462,1966,1034,2684,2295,2331,2456,4416,3708,0.154408603906631,0.270299583673477,-0.502551853656769
1,589,937,1358,671,1928,1533,1745,1914,3301,2870,0.17346316576004,0.224716067314148,-0.557810306549072
1,871,1420,1770,1122,2725,2142,2410.5,2620.5,4689.5,4027.5,0.212458297610283,0.460565000772476,-0.535150229930878
1,847,1984,2746,1402,3746,3123,3356,3492,4670,3350,0.154035732150078,0.340974003076553,-0.403666943311691
1,672,1111,1517,808,1927,1730,1806,1875.5,3211,2670.5,0.119047604501247,0.129741966724396,-0.485886126756668
1,613,1454,2022,1015,2888,2338,2531,2697,4268,3150,0.176374763250351,0.331976771354675,-0.491786122322083
1,563,1290,1692,954,2430,1812,2049,2160,3924,3402,0.179039299488068,0.314696550369263,-0.505178451538086
1,949,1590,2124,1228,2684,2422,2502,2650,4527,3476,0.11647255718708,0.194319695234299,-0.480137288570404
1,775,1166,1618,899,2322,1934,2069,2262,4138,3327,0.178680211305618,0.298528552055359,-0.56033182144165
1,593,1200,1576,816,2338,1824,1994,2172,4017,3109,0.194685742259026,0.32172754406929,-0.539965510368347
1,708,1068,1484,801,1892,1678,1742,1856,3455,2881,0.120853096246719,0.131542578339577,-0.527747094631195
1,742,1372,1914,882,2864,2274,2572,2714,4673,3685,0.198827922344208,0.366562604904175,-0.546071112155914
1,719.5,1144,1546,900.5,2377,1852,2054,2260,4246.5,3396.5,0.21182769536972,0.386481493711472,-0.575549602508545
1,859,1174,1560,956,2154,1840,1936,2125,4902,4311,0.159935355186462,0.256562858819962,-0.613561570644379
1,981.5,1511,1988,1220,2740,2326,2465,2644.5,4647.5,3714,0.159052446484566,0.320319294929504,-0.509296119213104
1,917.5,1270,1709,1000,2289,1978.5,2047,2178.5,3755.5,3139,0.145072534680367,0.230740278959274,-0.494577646255493
1,745,1274,1656,927,2128,1858,2031,2185,3575,2784,0.124735713005066,0.164515912532806,-0.474530816078186
1,653.5,1427,1975,1020,2845,2343.5,2513,2744.5,4784,3849,0.18049792945385,0.343669086694717,-0.540492653846741
1,544,1318,1938,867,2632,2189,2260,2472,4555,3559,0.151859983801842,0.235497415065765,-0.551166355609894
1,722,1318,1868,982,2536,2109,2238,2412,4087,3229,0.151680290699005,0.250890642404556,-0.512303411960602
1,684,1132,1566,878,2500,1870,2112,2353,4813,4056,0.229709789156914,0.433762103319168,-0.619175732135773
1,769.5,1376,1569.5,1183.5,2174,1961.5,2054.5,2144.5,3241.5,2422.5,0.161479905247688,0.312028348445892,-0.404006481170654
1,316,578,805,317,1672,1086,1376,1651,2724,1878,0.350020170211792,0.437206536531448,-0.649909138679504
1,627,1306,1794,872,2592,2147,2269,2440,3665,3025,0.181942567229271,0.311228722333908,-0.474552363157272
1,676,1230,1755,793,2376,2084.5,2194.5,2343,4416,3481.5,0.150326773524284,0.213217079639435,-0.564293324947357
1,704,1522,2132,1144,2822,2415,2531,2659,4585,4117,0.139281392097473,0.248387813568115,-0.501555562019348
1,716,1524,2177,1112,3011,2465,2580,2778,4773.5,3731.5,0.160755544900894,0.307394921779633,-0.515998363494873
1,1036,2436,3064,1766,3620,3243,3309,3470,5202,3636,0.0831837058067322,0.150085657835007,-0.362136691808701
1,572,1214,1632,859,2142,1919,1994,2135,3508,2704,0.135135129094124,0.179772973060608,-0.485811114311218
1,1194.5,1642,1903,1476.5,2782,2158.5,2363,2472.5,4120,3147.5,0.187620058655739,0.487698823213577,-0.430059015750885
1,847,1570,2082,1220,2634,2375,2431,2576,4286,3630,0.117048338055611,0.194521248340607,-0.463797807693481
1,719,1369,1820,984.5,2425,2027.5,2196.5,2318.5,3396.5,2652,0.142520636320114,0.224844425916672,-0.425453811883926
1,617.5,1035,1330,738,2368,1649,2067.5,2231.5,3904,2901,0.280692249536514,0.515815615653992,-0.580886781215668
1,715.5,1177,1643,888,2343,1884.5,2005.5,2183.5,4325.5,3424,0.175614684820175,0.289406269788742,-0.572194457054138
1,793,1370,1848,1028,2744,2159,2342,2520,4601,4160,0.195121943950653,0.384686976671219,-0.541115403175354
1,1371,1914,2318,1510,2986,2648,2750,2855,4530,3669,0.125942662358284,0.270082652568817,-0.405959069728851
1,634,907,1356,681,2056,1598,1727,1934,3879,3245,0.205158248543739,0.301735430955887,-0.620977818965912
1,800,1232,1716,836,2136,1987,2061,2206,4478,3229,0.10903425514698,0.117051333189011,-0.568476378917694
1,681.5,1235,1813,894,2256,2069.5,2225.5,2328.5,3791,2763,0.108871974050999,0.125894069671631,-0.50855553150177
1,600,975,1173.5,692.5,2528,1550,2193.5,2410,3531.5,2827.5,0.365932732820511,0.734260082244873,-0.567291736602783
1,726,1272,1642,970,2712,2081,2317,2569,4276,3759,0.245751053094864,0.515014052391052,-0.541456341743469
1,673,1460,1938,1072,2584,2170,2279,2442,3620,2785,0.142857119441032,0.243307739496231,-0.425196826457977
1,891.5,1241,1694,987.5,2187,1867.5,1941.5,2065.5,4322,3423.5,0.127029106020927,0.180377990007401,-0.553837835788727
1,807,1404,1814,1032,2412,2043,2215,2371,3795,3127,0.141504973173141,0.229705721139908,-0.459896087646484
1,618,1104,1488,761,1964,1747,1880,1961,3000,2416,0.137891083955765,0.165540456771851,-0.461988359689713
1,733,1462,2020,1084,2610,2289,2430,2563,4208,3191,0.127429813146591,0.203478932380676,-0.484303325414658
1,580,1128,1532,744,2026,1748,1896,2021,4023,3228,0.138842046260834,0.167729049921036,-0.562026798725128
1,566,1035,1339,761,2186,1653.5,2007,2133.5,3116.5,2449.5,0.24028368294239,0.409897655248642,-0.501385033130646
